2020-12-07 13:04:13.019 INFO  [18392] Logger 0 Initialized
2020-12-07 13:04:13.145 VERB  [18392] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:04:13.145 VERB  [18392] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:04:13.145 VERB  [18392] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:04:13.145 VERB  [18392] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:04:13.145 VERB  [18392] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:04:13.145 VERB  [18392] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:04:13.252 VERB  [18392] Set q8_usb-0 options to: ""
2020-12-07 13:04:13.252 VERB  [18392] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-07 13:04:13.253 VERB  [18392] Wrote q8_usb-0.AO analog output ranges.
2020-12-07 13:04:13.253 VERB  [18392] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-07 13:04:13.253 VERB  [18392] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-07 13:04:13.264 VERB  [18392] Set q8_usb-0 options to: ""
2020-12-07 13:04:13.275 VERB  [18392] Wrote q8_usb-0.encoder quadrature factors.
2020-12-07 13:04:13.275 VERB  [18392] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:04:13.275 VERB  [18392] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:04:13.275 INFO  [18392] Opened q8_usb-0
2020-12-07 13:04:13.276 VERB  [18392] Enabled q8_usb-0
2020-12-07 13:05:02.951 VERB  [18392] Wrote q8_usb-0.encoder encoder counts.
2020-12-07 13:07:19.135 VERB  [18392] Disabled q8_usb-0
2020-12-07 13:07:19.135 VERB  [18392] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:07:19.135 VERB  [18392] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:07:19.146 INFO  [18392] Closed q8_usb-0
2020-12-07 13:07:50.699 INFO  [16680] Logger 0 Initialized
2020-12-07 13:07:50.831 VERB  [16680] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:07:50.831 VERB  [16680] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:07:50.831 VERB  [16680] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:07:50.831 VERB  [16680] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:07:50.831 VERB  [16680] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:07:50.831 VERB  [16680] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:07:50.856 VERB  [16680] Set q8_usb-0 options to: ""
2020-12-07 13:07:50.856 VERB  [16680] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-07 13:07:50.856 VERB  [16680] Wrote q8_usb-0.AO analog output ranges.
2020-12-07 13:07:50.856 VERB  [16680] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-07 13:07:50.856 VERB  [16680] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-07 13:07:50.867 VERB  [16680] Set q8_usb-0 options to: ""
2020-12-07 13:07:50.877 VERB  [16680] Wrote q8_usb-0.encoder quadrature factors.
2020-12-07 13:07:50.878 VERB  [16680] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:07:50.878 VERB  [16680] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:07:50.878 INFO  [16680] Opened q8_usb-0
2020-12-07 13:07:50.878 VERB  [16680] Enabled q8_usb-0
2020-12-07 13:08:16.615 VERB  [16680] Disabled q8_usb-0
2020-12-07 13:08:16.616 VERB  [16680] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:08:16.616 VERB  [16680] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:08:16.626 INFO  [16680] Closed q8_usb-0
2020-12-07 13:08:36.038 INFO  [7924] Logger 0 Initialized
2020-12-07 13:08:36.169 VERB  [7924] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:08:36.169 VERB  [7924] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:08:36.169 VERB  [7924] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:08:36.169 VERB  [7924] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:08:36.169 VERB  [7924] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:08:36.169 VERB  [7924] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:08:36.194 VERB  [7924] Set q8_usb-0 options to: ""
2020-12-07 13:08:36.194 VERB  [7924] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-07 13:08:36.194 VERB  [7924] Wrote q8_usb-0.AO analog output ranges.
2020-12-07 13:08:36.194 VERB  [7924] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-07 13:08:36.194 VERB  [7924] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-07 13:08:36.204 VERB  [7924] Set q8_usb-0 options to: ""
2020-12-07 13:08:36.214 VERB  [7924] Wrote q8_usb-0.encoder quadrature factors.
2020-12-07 13:08:36.214 VERB  [7924] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:08:36.214 VERB  [7924] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:08:36.214 INFO  [7924] Opened q8_usb-0
2020-12-07 13:08:36.216 VERB  [7924] Enabled q8_usb-0
2020-12-07 13:08:50.827 VERB  [7924] Disabled q8_usb-0
2020-12-07 13:08:50.827 VERB  [7924] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:08:50.827 VERB  [7924] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:08:50.837 INFO  [7924] Closed q8_usb-0
2020-12-07 13:09:14.661 INFO  [16340] Logger 0 Initialized
2020-12-07 13:09:14.794 VERB  [16340] Module q8_usb-0.AI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:14.794 VERB  [16340] Module q8_usb-0.AO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:14.794 VERB  [16340] Module q8_usb-0.DI gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:14.794 VERB  [16340] Module q8_usb-0.DO gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:14.794 VERB  [16340] Module q8_usb-0.encoder gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:14.794 VERB  [16340] Module q8_usb-0.velocity gained channel numbers [0, 1, 2, 3, 4, 5, 6, 7].
2020-12-07 13:09:14.819 VERB  [16340] Set q8_usb-0 options to: ""
2020-12-07 13:09:14.819 VERB  [16340] Wrote q8_usb-0.AO expire analog expiration states.
2020-12-07 13:09:14.819 VERB  [16340] Wrote q8_usb-0.AO analog output ranges.
2020-12-07 13:09:14.819 VERB  [16340] Set q8_usb-0.DO channels [0, 1, 2, 3, 4, 5, 6, 7] directions to outputs.
2020-12-07 13:09:14.819 VERB  [16340] Wrote q8_usb-0.DO digital output expiration sates.
2020-12-07 13:09:14.830 VERB  [16340] Set q8_usb-0 options to: ""
2020-12-07 13:09:14.841 VERB  [16340] Wrote q8_usb-0.encoder quadrature factors.
2020-12-07 13:09:14.841 VERB  [16340] Stopped watchdog on q8_usb-0.watchdog.
2020-12-07 13:09:14.841 VERB  [16340] Cleared watchdog on q8_usb-0.watchdog.
2020-12-07 13:09:14.841 INFO  [16340] Opened q8_usb-0
2020-12-07 13:09:14.842 VERB  [16340] Enabled q8_usb-0
2020-12-07 13:09:19.534 VERB  [16340] Disabled q8_usb-0
2020-12-07 13:09:19.534 VERB  [16340] Stopped watchdog on q8_usb-0.watchdog.
