Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS,CentroidX,CentroidY,CentroidZ
0.013687,1,1,0,5,0,4.84321,-0.409694,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05859,1.47233,-nan(ind),-nan(ind),0,-1.32108,-1.19996,29.9469
0.077179,1,1,0,5,0,8.60939,-0.729071,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05852,1.47236,-nan(ind),-nan(ind),0,-1.3193,-1.2014,29.9469
0.085787,1,1,0,5,0,8.60994,-0.729083,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05852,1.47236,-nan(ind),-nan(ind),0,-1.31753,-1.20476,29.9468
0.096701,1,1,0,5,0,8.60993,-0.729248,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05851,1.47236,-nan(ind),-nan(ind),0,-1.32519,-1.20345,29.9465
0.107702,1,1,0,5,0,8.61006,-0.729213,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05851,1.47236,-nan(ind),-nan(ind),0,-1.32302,-1.20522,29.9466
0.118747,1,1,0,5,0,8.61,-0.728955,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05853,1.47235,-nan(ind),-nan(ind),0,-1.32105,-1.20038,29.9469
0.130624,1,1,0,5,0,8.61014,-0.728977,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05853,1.47235,-nan(ind),-nan(ind),0,-1.3192,-1.1993,29.947
0.142662,1,1,0,5,0,8.60883,-0.729028,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05852,1.47236,-nan(ind),-nan(ind),0,-1.32086,-1.20284,29.9468
0.153649,1,1,0,5,0,8.6081,-0.728975,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05852,1.47236,-nan(ind),-nan(ind),0,-1.32378,-1.1951,29.9469
0.165302,1,1,0,5,0,8.6084,-0.728903,-4.71565,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-888.88,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.05853,1.47235,-nan(ind),-nan(ind),0,-1.31648,-1.20119,29.947
