Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.013548,1,1,0,5,0,4.2939,-0.352723,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.07413,1,1,0,5,0,8.59129,-0.705559,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.083737,1,1,0,5,0,8.59171,-0.70555,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.094447,1,1,0,5,0,8.59191,-0.705573,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.106481,1,1,0,5,0,8.5923,-0.705566,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.117318,1,1,0,5,0,8.59245,-0.705512,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.128282,1,1,0,5,0,8.59208,-0.705519,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.139241,1,1,0,5,0,8.59147,-0.705608,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.150282,1,1,0,5,0,8.59105,-0.705665,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.162229,1,1,0,5,0,8.59094,-0.705782,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.174207,1,1,0,5,0,8.59182,-0.705701,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
0.185117,1,1,0,5,0,8.59305,-0.705586,-8.01525,-0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-1510.84,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.99666,1.50168,-nan(ind),-nan(ind),0
