Time,Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
53.7348,2,1,0,2,1,0.991239,0.00815591,0.47576,0.00331155,30,0.413616,3.77794,44.8393,89.6786,0.0221065,0.0251862,0.561267,0.178065,0.754647,-1.03788,0.0507409,1.62412,0
79.3558,2,1,0,3,1,4.94503,-0.0439447,13.2046,0.00349553,30,0.0141117,19.9032,1244.51,2489.02,0.00397348,0.132688,0.859956,-0.0341006,1.84837,1.58937,-0.00598598,-0.318175,0
109.361,2,1,0,4,1,4.76025,-0.0505127,16.0104,0.00349553,30,0.0101748,21.9161,1508.95,3017.9,0.00315468,0.146107,0.648946,-0.026175,1.89012,1.56172,-0.00452837,-0.276804,0
133.87,2,1,0,2,1,0.933261,0.00862318,3.93431,0.00349553,30,0.0163757,10.8641,370.8,741.6,0.00251688,0.0724275,0.0589676,-0.168911,3.36373,1.21153,-0.0193539,1.62146,0
152.128,2,1,0,0,1,0.513452,0.0338158,-5.00505,0.00367951,30,-nan(ind),-nan(ind),-nan(ind),-943.429,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.93723,1.53349,-nan(ind),-nan(ind),0
193.367,2,1,0,2,2,1.03575,0.0159504,0.574739,0.00404746,30,0.325499,4.15237,54.1678,108.336,0.0191211,0.0276825,0.514752,0.266282,0.426527,0.128119,0.0933324,1.01501,0
219.167,2,1,0,3,2,4.99472,-0.0343355,13.3882,0.00423143,30,0.0139613,20.0411,1261.81,2523.63,0.00395837,0.133608,0.868181,-0.0304621,1.78379,1.63793,-0.00547135,-0.492952,0
249.174,2,1,0,4,2,4.63055,-0.0623854,16.1595,0.00423143,30,0.00976097,22.0178,1522.99,3045.99,0.00304043,0.146785,0.602826,-0.0253117,1.89556,1.55831,-0.00437078,-0.271309,0
273.827,2,1,0,2,2,1.04493,0.0172971,4.01747,0.00478336,30,0.0177689,10.9783,378.637,757.275,0.00275972,0.073189,0.0751729,-0.11751,2.75922,1.28422,-0.0156297,1.10616,0
292.256,2,1,0,0,2,0.530626,0.0360063,-5.00523,0.00515131,30,-nan(ind),-nan(ind),-nan(ind),-943.464,-nan(ind),-nan(ind),-nan(ind),-nan(ind),1.91659,1.5455,-nan(ind),-nan(ind),0
333.34,2,1,0,2,3,0.989059,0.0111393,0.503908,0.00515131,30,0.378613,3.88809,47.4922,94.9845,0.0208257,0.0259206,0.5272,0.151161,0.775081,-1.22303,0.0425785,1.84978,0
359.932,2,1,0,3,3,5.02502,-0.0432749,13.7069,0.00496733,30,0.0135591,20.2782,1291.84,2583.69,0.0038898,0.135188,0.860049,-0.0302948,1.79841,1.62624,-0.00541286,-0.459142,0
