Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,-402337380,5.19154,-0.44486,17.6717,-0.000183975
1,1,0,0,-402337380,9.23775,-0.790833,17.6717,-0.000183975
1,1,0,0,-402337380,9.23719,-0.790797,17.6717,-0.000183975
1,1,0,0,-402337380,9.23664,-0.790743,17.6717,-0.000183975
1,1,0,0,-402337380,9.237,-0.790716,17.6717,-0.000183975
1,1,0,0,-402337380,9.23715,-0.79077,17.6717,-0.000183975
1,1,0,0,-402337380,9.23681,-0.790839,17.6717,-0.000183975
1,1,0,0,-402337380,9.23778,-0.790896,17.6717,-0.000183975
1,1,0,0,-402337380,9.23839,-0.790865,17.6717,-0.000183975
1,1,0,0,-402337380,9.23831,-0.790852,17.6717,-0.000183975
1,1,0,0,-402337380,9.23973,-0.790724,17.6717,-0.000183975
1,1,0,0,-402337380,9.23875,-0.790799,17.6717,-0.000183975
1,1,0,0,-402337380,9.23822,-0.790846,17.6717,-0.000183975
1,1,0,0,-402337380,9.23847,-0.790888,17.6717,-0.000183975
1,1,0,0,-402337380,9.23718,-0.790823,17.6717,-0.000183975
1,1,0,0,-402337380,9.23684,-0.790751,17.6717,-0.000183975
1,1,0,0,-402337380,9.23666,-0.790691,17.6717,-0.000183975
1,1,0,0,-402337380,9.23613,-0.790583,17.6717,-0.000183975
1,1,0,0,-402337380,9.23632,-0.790615,17.6717,-0.000183975
1,1,0,0,-402337380,9.23704,-0.790659,17.6717,-0.000183975
1,1,0,0,-402337380,9.23696,-0.790602,17.6717,-0.000183975
1,1,0,0,-402337380,9.23653,-0.790569,17.6717,-0.000183975
1,1,0,0,-402337380,9.23613,-0.790489,17.6717,-0.000183975
1,1,0,0,-402337380,9.23575,-0.790476,17.6717,-0.000183975
1,1,0,0,-402337380,9.2362,-0.790449,17.6717,-0.000183975
1,1,0,0,-402337380,9.23664,-0.790514,17.6717,-0.000183975
1,1,0,0,-402337380,9.23761,-0.790522,17.6717,-0.000183975
1,1,0,0,-402337380,9.2376,-0.790556,17.6717,-0.000183975
1,1,0,0,-402337380,9.23725,-0.790567,17.6717,-0.000183975
1,1,0,0,-402337380,9.23772,-0.790419,17.6717,-0.000183975
1,1,0,0,-402337380,9.2379,-0.790346,17.6717,-0.000183975
1,1,0,0,-402337380,9.23727,-0.790359,17.6717,-0.000183975
1,1,0,0,-402337380,9.23742,-0.790231,17.6717,-0.000183975
1,1,0,0,-402337380,9.23777,-0.790286,17.6717,-0.000183975
1,1,0,0,-402337380,9.23676,-0.790427,17.6717,-0.000183975
1,1,0,0,-402337380,9.23665,-0.79049,17.6717,-0.000183975
1,1,0,0,-402337380,9.23658,-0.790562,17.6717,-0.000183975
1,1,0,0,-402337380,9.23607,-0.790538,17.6717,-0.000183975
1,1,0,0,-402337380,9.23643,-0.790456,17.6717,-0.000183975
1,1,0,0,-402337380,9.23654,-0.790354,17.6717,-0.000183975
1,1,0,0,-402337380,9.2364,-0.790257,17.6717,-0.000183975
1,1,0,0,-402337380,9.23673,-0.790192,17.6717,-0.000183975
1,1,0,0,-402337380,9.23654,-0.790226,17.6717,-0.000183975
1,1,0,0,-402337380,9.23594,-0.790437,17.6717,-0.000183975
1,1,0,0,-402337380,9.23621,-0.790436,17.6717,-0.000183975
1,1,0,0,-402337380,9.23629,-0.790508,17.6717,-0.000183975
1,1,0,0,-402337380,9.23603,-0.790576,17.6717,-0.000183975
1,1,0,0,-402337380,9.23641,-0.790489,17.6717,-0.000183975
1,1,0,0,-402337380,9.23662,-0.790432,17.6717,-0.000183975
1,1,0,0,-402337380,9.23698,-0.790445,17.6717,-0.000183975
1,1,0,0,-402337380,9.2365,-0.790457,17.6717,-0.000183975
1,1,0,0,-402337380,9.23638,-0.790479,17.6717,-0.000183975
1,1,0,0,-402337380,9.23624,-0.790479,17.6717,-0.000183975
1,1,0,0,-402337380,9.2356,-0.790425,17.6717,-0.000183975
1,1,0,0,-402337380,9.23527,-0.790372,17.6717,-0.000183975
1,1,0,0,-402337380,9.23579,-0.790252,17.6717,-0.000183975
1,1,0,0,-402337380,9.23564,-0.790217,17.6717,-0.000183975
1,1,0,0,-402337380,9.23546,-0.790272,17.6717,-0.000183975
1,1,0,0,-402337380,9.23618,-0.790323,17.6717,-0.000183975
1,1,0,0,-402337380,9.2365,-0.790383,17.6717,-0.000183975
1,1,0,0,-402337380,9.23662,-0.790363,17.6717,-0.000183975
1,1,0,0,-402337380,9.23757,-0.790274,17.6717,-0.000183975
1,1,0,0,-402337380,9.23726,-0.790199,17.6717,-0.000183975
1,1,0,0,-402337380,9.237,-0.790092,17.6717,-0.000183975
1,1,0,0,-402337380,9.23697,-0.790064,17.6717,-0.000183975
1,1,0,0,-402337380,9.23661,-0.790021,17.6717,-0.000183975
1,1,0,0,-402337380,9.23689,-0.79002,17.6717,-0.000183975
1,1,0,0,-402337380,9.23704,-0.790015,17.6717,-0.000183975
1,1,0,0,-402337380,9.23741,-0.789962,17.6717,-0.000183975
1,1,0,0,-402337380,9.2369,-0.789959,17.6717,-0.000183975
1,1,0,0,-402337380,9.23618,-0.790056,17.6717,-0.000183975
1,1,0,0,-402337380,9.23654,-0.790125,17.6717,-0.000183975
1,1,0,0,-402337380,9.23588,-0.790223,17.6717,-0.000183975
1,1,0,0,-402337380,9.23585,-0.790327,17.6717,-0.000183975
1,1,0,0,-402337380,9.23598,-0.790323,17.6717,-0.000183975
1,1,0,0,-402337380,9.23657,-0.790307,17.6717,-0.000183975
1,1,0,0,-402337380,9.23629,-0.790339,17.6717,-0.000183975
1,1,0,0,-402337380,9.23611,-0.790445,17.6717,-0.000183975
