Time,Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.013261,1,1,0,0,4,4.29474,-0.349211,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.072418,1,1,0,0,4,8.58897,-0.69924,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.083096,1,1,0,0,4,8.58897,-0.699363,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.093613,1,1,0,0,4,8.58952,-0.69938,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.104736,1,1,0,0,4,8.58944,-0.699494,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.115561,1,1,0,0,4,8.58916,-0.699519,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.126621,1,1,0,0,4,8.58932,-0.699354,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.137789,1,1,0,0,4,8.58884,-0.699382,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.149507,1,1,0,0,4,8.58884,-0.69949,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.160451,1,1,0,0,4,8.58912,-0.699456,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.171884,1,1,0,0,4,8.58849,-0.69956,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.182792,1,1,0,0,4,8.58893,-0.699622,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.194373,1,1,0,0,4,8.58928,-0.6995,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.205563,1,1,0,0,4,8.58904,-0.69939,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.216616,1,1,0,0,4,8.58878,-0.699426,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.228364,1,1,0,0,4,8.58814,-0.699473,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.240494,1,1,0,0,4,8.58787,-0.699475,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.251652,1,1,0,0,4,8.58838,-0.699488,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.26226,1,1,0,0,4,8.58918,-0.699428,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.27346,1,1,0,0,4,8.59018,-0.699269,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.284256,1,1,0,0,4,8.59028,-0.69926,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.296102,1,1,0,0,4,8.59005,-0.699316,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.307387,1,1,0,0,4,8.58969,-0.699399,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.319429,1,1,0,0,4,8.58931,-0.699509,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.330273,1,1,0,0,4,8.58897,-0.699441,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.340979,1,1,0,0,4,8.5887,-0.699333,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.352685,1,1,0,0,4,8.58918,-0.69911,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.363149,1,1,0,0,4,8.58836,-0.699086,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.373893,1,1,0,0,4,8.58839,-0.699085,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
0.385635,1,1,0,0,4,8.58946,-0.699183,-14.3249,0,30,-nan(ind),-nan(ind),-nan(ind),-2700.17,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2,1.5,-nan(ind),-nan(ind),0
