Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,-1614782473,5.10032,-0.435853,0.296384,0.000183975
1,1,0,0,-1614782473,9.56566,-0.817847,0.296384,0.000183975
1,1,0,0,-1614782473,9.56574,-0.817926,0.296384,0.000183975
1,1,0,0,-1614782473,9.56685,-0.817856,0.296384,0.000183975
1,1,0,0,-1614782473,9.56745,-0.817762,0.296384,0.000183975
1,1,0,0,-1614782473,9.56762,-0.817729,0.296384,0.000183975
1,1,0,0,-1614782473,9.56729,-0.817669,0.296384,0.000183975
1,1,0,0,-1614782473,9.56744,-0.817683,0.296384,0.000183975
1,1,0,0,-1614782473,9.5671,-0.817637,0.296384,0.000183975
1,1,0,0,-1614782473,9.56729,-0.817589,0.296384,0.000183975
1,1,0,0,-1614782473,9.56693,-0.817535,0.296384,0.000183975
1,1,0,0,-1614782473,9.56715,-0.817583,0.296384,0.000183975
1,1,0,0,-1614782473,9.56741,-0.81767,0.296384,0.000183975
1,1,0,0,-1614782473,9.56701,-0.817867,0.296384,0.000183975
1,1,0,0,-1614782473,9.56718,-0.817916,0.296384,0.000183975
1,1,0,0,-1614782473,9.56711,-0.817935,0.296384,0.000183975
1,1,0,0,-1614782473,9.56596,-0.817893,0.296384,0.000183975
1,1,0,0,-1614782473,9.56601,-0.817887,0.296384,0.000183975
1,1,0,0,-1614782473,9.56579,-0.817886,0.296384,0.000183975
1,1,0,0,-1614782473,9.56557,-0.81786,0.296384,0.000183975
1,1,0,0,-1614782473,9.56614,-0.817833,0.296384,0.000183975
1,1,0,0,-1614782473,9.56664,-0.817736,0.296384,0.000183975
1,1,0,0,-1614782473,9.56655,-0.817635,0.296384,0.000183975
1,1,0,0,-1614782473,9.56701,-0.817636,0.296384,0.000183975
1,1,0,0,-1614782473,9.56694,-0.817761,0.296384,0.000183975
1,1,0,0,-1614782473,9.56654,-0.817851,0.296384,0.000183975
1,1,0,0,-1614782473,9.56623,-0.817935,0.296384,0.000183975
1,1,0,0,-1614782473,9.56602,-0.817844,0.296384,0.000183975
1,1,0,0,-1614782473,9.566,-0.81775,0.296384,0.000183975
1,1,0,0,-1614782473,9.56545,-0.817583,0.296384,0.000183975
1,1,0,0,-1614782473,9.56597,-0.817455,0.296384,0.000183975
1,1,0,0,-1614782473,9.56643,-0.817505,0.296384,0.000183975
1,1,0,0,-1614782473,9.56699,-0.817637,0.296384,0.000183975
1,1,0,0,-1614782473,9.56759,-0.817691,0.296384,0.000183975
1,1,0,0,-1614782473,9.56725,-0.817798,0.296384,0.000183975
1,1,0,0,-1614782473,9.56709,-0.817817,0.296384,0.000183975
1,1,0,0,-1614782473,9.5672,-0.81779,0.296384,0.000183975
