Time,Mode,Dof,ControlType,Trial,GenNum,Window,Level,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
28.9846,1,1,0,0,4,0,-3,8.625,7.995,1,2,1,1,0,5.52718,0.32524,8.51898,0.000161898,4.48506,0.27238,7.91885,1.83975e-05
33.8982,1,1,0,1,50,0,-1,8.625,9.255,1,2,2,2,1,5.08222,0.255904,8.52824,3.67951e-06,5.81409,0.368424,9.14475,0.000103026
38.9979,1,1,0,2,21,0,-2,8.625,8.625,2,1,0,2,0,4.92214,0.287298,8.54,0.000183975,4.93932,0.285366,8.5458,0.000183975
43.894,1,1,0,3,19,0,-3,7.995,8.625,2,1,2,1,1,4.17446,0.250547,7.92678,6.25516e-05,4.93959,0.328874,8.53827,0.000169257
48.7199,1,1,0,4,1,0,-5,6.735,8.625,2,1,2,2,0,3.0719,0.273605,6.68492,0.000114065,4.96229,0.336936,8.53963,0
54.1834,1,1,0,5,44,0,-4,8.625,7.365,1,2,1,1,0,4.91125,0.334279,8.53516,1.4718e-05,3.48362,0.256977,7.30608,3.67951e-06
59.0454,1,1,0,6,46,0,-3,8.625,7.995,1,2,1,2,1,4.85559,0.355797,8.53651,8.83081e-05,4.00241,0.264125,7.93028,0
63.8126,1,1,0,7,60,0,-3,8.625,7.995,1,2,1,2,1,4.82836,0.330945,8.55515,0.000121424,3.9383,0.276304,7.93165,5.88721e-05
68.5411,1,1,0,8,33,0,-3,7.995,8.625,2,1,2,2,0,3.96702,0.25859,7.93421,1.4718e-05,4.78287,0.306424,8.5578,3.67951e-05
73.2788,1,1,0,9,39,0,0,9.885,8.625,2,1,1,1,1,6.39133,0.39703,9.74662,0,4.52755,0.253969,8.55889,0
77.9506,1,1,0,10,25,0,0,9.885,8.625,2,1,1,1,1,6.28844,0.341306,9.75854,6.99106e-05,4.44281,0.297305,8.55936,5.15131e-05
82.6891,1,1,0,11,22,0,-1,8.625,9.255,1,2,2,2,1,4.41714,0.288008,8.55979,3.67951e-06,5.28587,0.279972,9.16823,1.83975e-05
87.3425,1,1,0,12,53,0,0,9.885,8.625,2,1,1,2,0,6.17703,0.313194,9.75789,0,4.30452,0.199623,8.56127,1.10385e-05
91.9257,1,1,0,13,36,0,-1,8.625,9.255,1,2,2,2,1,4.34219,0.170453,8.56328,0,5.20954,0.242284,9.17254,-1.10385e-05
96.5952,1,1,0,14,2,0,-4,8.625,7.365,1,2,1,1,0,4.17429,0.256278,8.56343,6.99106e-05,3.06887,0.111063,7.31573,0
101.484,1,1,0,15,34,0,-2,8.625,8.625,1,2,0,2,1,4.22362,0.150668,8.56485,0,4.14022,0.134873,8.56584,5.88721e-05
106.077,1,1,0,16,28,0,-5,8.625,6.735,1,2,1,1,0,4.06393,0.0658042,8.56865,5.88721e-05,2.55479,0.0486019,6.69504,9.19876e-05
110.869,1,1,0,17,20,0,-2,8.625,8.625,1,2,0,2,1,4.07423,0.133047,8.56453,2.9436e-05,4.01478,0.110252,8.56474,0.000165578
115.53,1,1,0,18,56,0,-5,8.625,6.735,1,2,1,1,0,3.87198,0.179038,8.56904,0.00015086,2.50214,0.0417279,6.69285,0
120.194,1,1,0,19,24,0,0,8.625,9.885,1,2,2,2,1,4.00049,0.0797085,8.56688,-2.57565e-05,5.51154,0.0944031,9.77051,5.51926e-05
124.886,1,1,0,20,49,0,-2,8.625,8.625,2,1,0,1,1,4.25853,0.499038,8.56382,0.00015086,3.90026,0.0999992,8.57063,0.000117744
129.68,1,1,0,21,0,0,-5,8.625,6.735,1,2,1,1,0,3.98215,0.0644234,8.57034,1.83975e-05,2.48286,0.0168345,6.69584,3.67951e-06
134.356,1,1,0,22,66,0,0,8.625,9.885,1,2,2,2,1,3.99805,0.0476696,8.57069,8.83081e-05,5.46425,0.0598044,9.77382,8.09491e-05
139.07,1,1,0,23,23,0,-1,9.255,8.625,2,1,1,2,0,4.52558,0.0538953,9.18262,7.35901e-05,3.79902,-0.00721727,8.57166,1.4718e-05
143.847,1,1,0,24,54,0,1,8.625,10.515,1,2,2,2,1,3.84715,0.0205513,8.56778,0,6.26907,0.0852134,10.3901,0
148.451,1,1,0,25,69,0,1,10.515,8.625,2,1,1,1,1,6.02328,0.0708826,10.3962,0.000183975,3.58311,-0.0277859,8.5757,1.83975e-05
153.098,1,1,0,26,3,0,-4,7.365,8.625,2,1,2,2,0,2.66224,-0.0845809,7.32372,4.78336e-05,3.70904,-0.0331847,8.5732,0
157.696,1,1,0,27,30,0,-4,8.625,7.365,1,2,1,2,1,3.67018,-0.00853497,8.57449,6.25516e-05,2.63832,-0.0543734,7.32602,8.46286e-05
162.407,1,1,0,28,64,0,-1,8.625,9.255,1,2,2,1,0,3.59521,-0.0522399,8.57275,2.9436e-05,4.28367,-0.0541034,9.18552,0
167.037,1,1,0,29,14,0,-5,8.625,6.735,1,2,1,1,0,3.59389,-0.0622847,8.57264,1.4718e-05,2.23936,-0.109897,6.69707,0
171.775,1,1,0,30,68,0,1,8.625,10.515,1,2,2,2,1,3.60838,-0.0644654,8.56368,9.93466e-05,5.85941,0.0392959,10.403,1.10385e-05
176.379,1,1,0,31,58,0,-4,8.625,7.365,1,2,1,1,0,3.50142,-0.0273287,8.5729,-3.6795e-06,2.52934,-0.0885462,7.32865,1.83975e-05
180.982,1,1,0,32,61,0,-3,7.995,8.625,2,1,2,2,0,3.05516,-0.0897026,7.94019,0,3.5539,-0.047212,8.569,0
