Time,Mode,Dof,ControlType,StairNum,Trial,whichStim,NormF,ShearF,NormP,ShearP,eeRadius,CombinedE,ContactRadius,PlanarA,SphericalA,MeanStress,MeanStrain,ElasticStrainEnergy_N,YoungModulusNS,PoissonNS,CouplingBetaNS,ShearModulusNS,ComplianceN_NS,ComplianceT_NS
0.013667,1,1,0,0,0,4,4.39677,-0.371785,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00498,1.49752,-nan(ind),-nan(ind),0
0.077815,1,1,0,0,0,4,8.79934,-0.744254,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.088376,1,1,0,0,0,4,8.79897,-0.744239,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.100142,1,1,0,0,0,4,8.79927,-0.744166,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49752,-nan(ind),-nan(ind),0
0.111129,1,1,0,0,0,4,8.79929,-0.744217,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49752,-nan(ind),-nan(ind),0
0.122005,1,1,0,0,0,4,8.79845,-0.744331,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.133047,1,1,0,0,0,4,8.79853,-0.744271,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.144929,1,1,0,0,0,4,8.79894,-0.744284,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.155888,1,1,0,0,0,4,8.79798,-0.744378,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.166892,1,1,0,0,0,4,8.79806,-0.744396,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.177931,1,1,0,0,0,4,8.79847,-0.744454,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.18883,1,1,0,0,0,4,8.79878,-0.744526,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.199782,1,1,0,0,0,4,8.79879,-0.744485,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.211768,1,1,0,0,0,4,8.79864,-0.744411,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.222702,1,1,0,0,0,4,8.79888,-0.744457,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.233808,1,1,0,0,0,4,8.79957,-0.744443,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.245893,1,1,0,0,0,4,8.79907,-0.74454,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.256633,1,1,0,0,0,4,8.79861,-0.74466,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.267782,1,1,0,0,0,4,8.79887,-0.744675,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.278947,1,1,0,0,0,4,8.79801,-0.744662,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.290605,1,1,0,0,0,4,8.79722,-0.744718,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.301528,1,1,0,0,0,4,8.79809,-0.744637,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.312672,1,1,0,0,0,4,8.79779,-0.744583,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.323413,1,1,0,0,0,4,8.79802,-0.744506,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.335532,1,1,0,0,0,4,8.79852,-0.744385,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.346475,1,1,0,0,0,4,8.79873,-0.744343,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.35759,1,1,0,0,0,4,8.79857,-0.744416,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.369312,1,1,0,0,0,4,8.79867,-0.744496,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.380404,1,1,0,0,0,4,8.79852,-0.74456,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.391409,1,1,0,0,0,4,8.79814,-0.744642,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.403192,1,1,0,0,0,4,8.79841,-0.744525,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.413729,1,1,0,0,0,4,8.79872,-0.744253,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.425762,1,1,0,0,0,4,8.79863,-0.744192,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.436369,1,1,0,0,0,4,8.79913,-0.744087,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00498,1.49752,-nan(ind),-nan(ind),0
0.447378,1,1,0,0,0,4,8.79926,-0.74403,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00498,1.49752,-nan(ind),-nan(ind),0
0.458363,1,1,0,0,0,4,8.79909,-0.7442,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49752,-nan(ind),-nan(ind),0
0.469388,1,1,0,0,0,4,8.79866,-0.744321,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.480261,1,1,0,0,0,4,8.79847,-0.744344,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.491353,1,1,0,0,0,4,8.79852,-0.744424,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.503409,1,1,0,0,0,4,8.79863,-0.744436,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.514431,1,1,0,0,0,4,8.79878,-0.74438,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
0.525184,1,1,0,0,0,4,8.79864,-0.744317,-5.27328,0.000367951,30,-nan(ind),-nan(ind),-nan(ind),-993.99,-nan(ind),-nan(ind),-nan(ind),-nan(ind),2.00497,1.49753,-nan(ind),-nan(ind),0
