Mode,Dof,ControlType,StairNum,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,0,-1621761522,4.91892,-0.420708,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.2224,-0.789051,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22235,-0.789029,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22246,-0.788985,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22283,-0.788964,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22287,-0.788897,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22287,-0.788941,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22301,-0.788969,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22248,-0.789074,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22245,-0.789192,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22266,-0.789214,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22251,-0.789214,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22276,-0.789217,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22287,-0.789223,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22319,-0.789224,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22311,-0.78922,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22319,-0.789145,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22336,-0.789029,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22297,-0.788996,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.2227,-0.789022,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22252,-0.789023,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22236,-0.789047,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22238,-0.789045,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22234,-0.789026,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22248,-0.789027,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22266,-0.788996,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22304,-0.788969,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22316,-0.788901,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22308,-0.788873,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.223,-0.788919,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22261,-0.788954,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22242,-0.788967,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22284,-0.78898,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22325,-0.788939,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22341,-0.788981,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22366,-0.788989,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.2233,-0.788909,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22312,-0.78883,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22319,-0.78876,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22326,-0.788662,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22323,-0.788725,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22328,-0.788754,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22285,-0.788855,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22246,-0.788951,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22232,-0.789054,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22236,-0.78915,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22248,-0.789185,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22261,-0.789162,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22262,-0.789184,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22256,-0.78916,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22252,-0.789095,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22262,-0.789024,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22281,-0.789022,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22329,-0.78891,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22389,-0.788969,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22388,-0.788992,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22387,-0.789097,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22362,-0.789199,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22312,-0.789337,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22263,-0.789342,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22212,-0.789346,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22197,-0.78932,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22204,-0.789266,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22209,-0.789252,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22248,-0.789265,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22266,-0.789304,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22205,-0.789299,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22192,-0.789306,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22196,-0.789266,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22207,-0.789207,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22213,-0.789151,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22209,-0.78922,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22226,-0.789229,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22199,-0.789331,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22199,-0.789385,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22223,-0.789404,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22224,-0.789502,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22193,-0.789469,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.2221,-0.789525,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22253,-0.78955,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.2225,-0.789468,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22275,-0.78946,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22298,-0.78941,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22298,-0.789304,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22281,-0.789298,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22296,-0.789367,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22307,-0.789433,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.2231,-0.789465,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22347,-0.789478,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22403,-0.789465,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22418,-0.789481,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22411,-0.789503,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22395,-0.789538,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22379,-0.789485,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22355,-0.789394,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22355,-0.789305,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.2236,-0.789278,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22341,-0.789283,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22318,-0.789286,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22301,-0.789248,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22295,-0.789245,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22309,-0.789239,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22341,-0.789269,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22347,-0.789279,14.4498,0.000183975
1,1,0,0,0,-1621761522,9.22319,-0.789294,14.4498,0.000183975
