Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
2,1,0,0,1,2,2,0,3.9,0,2,1,1,1,1,2.09584,0.0426933,3.86546,0,0.815809,0.0695331,0.167944,0
2,1,0,0,2,1,1,0,3.7,0,2,1,1,1,1,1.84048,0.0496848,3.67178,-3.31155e-05,0.80079,-0.0392067,0.167958,0
2,1,0,0,3,1,1,0,3.5,0,2,1,1,1,1,1.49144,0.0678323,3.48608,0,0.78186,0.0246879,0.167833,0
2,1,0,0,4,1,1,0,3.3,0,2,1,1,1,1,1.48855,-0.0245985,3.28126,0,0.75011,-0.0729654,0.163554,0
2,1,0,0,5,1,1,0,0,3.1,1,2,2,2,1,0.78769,-0.0205755,0.163554,0,1.40683,-0.0431831,3.08113,0
2,1,0,0,6,1,1,0,0,2.9,1,2,2,2,1,0.745217,-0.0706655,0.163992,0,1.24329,-0.106961,2.88851,0
2,1,0,0,7,1,1,0,0,2.7,1,2,2,2,1,0.744475,-0.113118,0.167785,0,1.21125,-0.111053,2.68002,0
2,1,0,0,8,1,1,0,0,2.5,1,2,2,2,1,0.770041,-0.0530567,0.165938,0,1.1551,-0.0907006,2.47101,0
2,1,0,0,9,1,1,0,0,2.3,1,2,2,2,1,0.734135,-0.0916215,0.167969,0,1.08151,-0.0643272,2.27563,0
2,1,0,0,10,1,1,0,2.1,0,2,1,1,1,1,0.943133,-0.0492812,2.08682,0,0.747764,-0.0916704,0.168705,0
2,1,0,0,11,1,1,0,1.9,0,2,1,1,1,1,0.8978,-0.110864,1.88439,0,0.786574,-0.0219243,0.167785,0
2,1,0,0,12,1,1,0,0,1.7,1,2,2,2,1,0.768269,-0.0673102,0.166866,0,0.772827,-0.134745,1.69257,0
2,1,0,0,13,1,1,0,1.5,0,2,1,1,1,1,0.718052,-0.125262,1.49434,0,0.747309,-0.0867252,0.167785,0
2,1,0,0,14,1,1,0,0,1.3,1,2,2,2,1,0.738437,-0.0666259,0.166682,0,0.632294,-0.155917,1.29645,0
2,1,0,0,15,1,1,0,0,1.1,1,2,2,2,1,0.739775,-0.120626,0.166866,0,0.531174,-0.105055,1.10325,0
2,1,0,0,16,1,1,0,0,0.9,1,2,2,2,1,0.756857,-0.0879241,0.166575,0,0.535946,-0.141542,0.902307,0
2,1,0,0,17,1,1,0,0.7,0,2,1,1,1,1,0.476828,-0.149684,0.695345,0,0.753721,-0.100122,0.164746,0
2,1,0,0,18,1,1,0,0,0.5,1,2,2,2,1,0.776027,-0.109419,0.163506,0,0.411034,-0.160043,0.507639,0
2,1,0,0,19,1,1,0,0.3,0,2,1,1,1,1,0.37895,-0.0924311,0.309998,0,0.762093,-0.111255,0.16521,0
2,1,0,0,20,1,1,0,0.1,0,2,1,1,2,0,0.694655,-0.105348,0.163738,0,0.808373,-0.0653528,0.161589,0
2,1,0,0,21,0,0,1,0,0.3,1,2,2,2,1,0.794055,-0.0701025,0.161284,0,0.374372,-0.155208,0.310572,0
2,1,0,0,22,1,1,2,0,0.1,1,2,2,2,1,0.808793,-0.112556,0.16061,0,0.660027,-0.0771412,0.16245,0
2,1,0,0,23,0,0,3,0.1,0,2,1,1,2,0,0.703737,-0.0471125,0.161898,0,0.789012,-0.10678,0.158991,0
2,1,0,0,24,0,0,3,0,0.3,1,2,2,2,1,0.792595,-0.119535,0.158631,0,0.364522,-0.0910272,0.311205,0
2,1,0,0,25,1,1,4,0.1,0,2,1,1,2,0,0.69844,-0.0614827,0.163922,0,0.80202,-0.0943749,0.160794,0
2,1,0,0,26,0,0,5,0,0.3,1,2,2,1,0,0.799929,-0.0492225,0.159874,0,0.339057,-0.132215,0.307629,0
2,1,0,0,27,0,0,5,0.5,0,2,1,1,1,1,0.386926,-0.111469,0.503066,0,0.785089,-0.0415371,0.16557,0
2,1,0,0,28,1,1,6,0,0.3,1,2,2,2,1,0.778149,-0.105937,0.160949,0,0.342821,-0.10281,0.311323,0
2,1,0,0,29,1,1,6,0.1,0,2,1,1,1,1,0.662633,-0.10877,0.161346,0,0.803063,-0.0639576,0.157556,0
