Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
2,1,0,0,1,2,2,0,0,2.25,1,2,2,1,0,0.388567,-0.000497684,-0.014718,-5.15131e-05,1.29006,-0.0318573,2.21166,-0.000183975
2,1,0,0,2,0,0,0,0,2.45,1,2,2,2,1,0.883128,0.030321,0.172569,-0.000183975,1.24475,-0.0425673,2.41957,0
2,1,0,0,3,1,1,1,2.25,0,2,1,1,1,1,1.12985,-0.0312995,2.22467,-0.000183975,0.79801,0.0349958,0.173305,-0.000183975
2,1,0,0,4,1,1,1,0,2.05,1,2,2,2,1,0.828614,0.0283721,0.173305,0,0.968558,-0.0402132,2.03403,-6.62311e-05
2,1,0,0,5,1,1,1,1.85,0,2,1,1,1,1,0.932313,-0.0310716,1.82978,-2.2077e-05,0.783158,0.02699,0.174085,-6.25516e-05
2,1,0,0,6,1,1,1,1.65,0,2,1,1,1,1,0.837647,-0.034009,1.62931,-0.000106706,0.768994,0.0213625,0.174225,0
2,1,0,0,7,1,1,1,1.45,0,2,1,1,2,0,0.681487,-0.0384679,1.4399,0,0.825567,0.0229108,0.17407,-0.000176616
2,1,0,0,8,0,0,2,1.65,0,2,1,1,1,1,0.844153,-0.037215,1.63724,0,0.792102,0.023457,0.174409,-0.000125103
2,1,0,0,9,1,1,3,0,1.45,1,2,2,2,1,0.903343,0.0294242,0.174409,-0.000183975,0.82465,-0.0287196,1.43939,-0.000183975
2,1,0,0,10,1,1,3,0,1.25,1,2,2,2,1,0.85463,0.0286859,0.172937,-0.000183975,0.739305,-0.0227323,1.23717,-0.000183975
2,1,0,0,11,1,1,3,0,1.05,1,2,2,2,1,0.826879,0.0281776,0.173305,-0.000183975,0.728363,-0.0141814,1.03156,-0.000183975
2,1,0,0,12,1,1,3,0.85,0,2,1,1,1,1,0.673738,-0.00884643,0.825832,-0.000183975,0.816264,0.0238037,0.173305,-0.000183975
2,1,0,0,13,1,1,3,0.65,0,2,1,1,1,1,0.47648,-0.0217462,0.639965,-0.000183975,0.836035,0.0214386,0.172753,-0.000183975
2,1,0,0,14,1,1,3,0,0.45,1,2,2,2,1,0.806786,0.0199884,0.172201,-0.000183975,0.414348,-0.0163266,0.44022,-0.000114065
2,1,0,0,15,1,1,3,0,0.25,1,2,2,1,0,0.821355,0.0229474,0.171575,-0.000183975,0.326151,-0.0144166,0.257028,-0.000183975
2,1,0,0,16,0,0,4,0.45,0,2,1,1,2,0,0.402173,-0.0172647,0.442747,-0.000183975,0.823212,0.021526,0.173507,-0.000183975
2,1,0,0,17,0,0,4,0.65,0,2,1,1,1,1,0.479638,-0.0186676,0.641257,-0.000183975,0.806635,0.0242109,0.173897,-0.000183975
2,1,0,0,18,1,1,5,0.45,0,2,1,1,1,1,0.421085,-0.0147227,0.44114,-0.000103026,0.796321,0.0228894,0.172753,0
2,1,0,0,19,1,1,5,0,0.25,1,2,2,2,1,0.815482,0.0246338,0.168521,-8.83081e-05,0.33667,-0.0145599,0.260627,0
2,1,0,0,20,1,1,5,0,0.05,1,2,2,2,1,0.820636,0.021815,0.167234,-0.000117744,0.836248,0.0229276,0.167785,-0.000154539
2,1,0,0,21,0,0,6,0,0.15,1,2,2,2,1,0.799272,0.0213146,0.16705,0,0.480777,-0.000675643,0.172017,0
2,1,0,0,22,1,1,7,0.05,0,2,1,1,1,1,0.815983,0.0203469,0.166498,-9.93466e-05,0.81865,0.0187208,0.165475,-0.000183975
2,1,0,0,23,0,0,8,0.15,0,2,1,1,2,0,0.503383,-0.00408824,0.174629,0,0.811498,0.0180194,0.164202,-1.10385e-05
2,1,0,0,24,0,0,8,0,0.35,1,2,2,2,1,0.797014,0.0180276,0.163922,0,0.377055,-0.017634,0.3402,-0.000183975
2,1,0,0,25,1,1,9,0.15,0,2,1,1,1,1,0.550996,0.00184101,0.173673,-0.000183975,0.841019,0.0223161,0.161953,-0.000183975
2,1,0,0,26,1,1,9,0,0.05,1,2,2,1,0,0.855832,0.0252074,0.161714,0,0.797646,0.0215835,0.16245,0
2,1,0,0,27,0,0,10,0.25,0,2,1,1,2,0,0.4128,-0.00616502,0.260829,0,0.807979,0.0264755,0.161446,0
2,1,0,0,28,0,0,10,0,0.45,1,2,2,2,1,0.796497,0.026682,0.160978,0,0.434511,-0.00979912,0.443388,0
2,1,0,0,29,1,1,11,0.25,0,2,1,1,2,0,0.444313,-0.00113764,0.264325,-0.000183975,0.808789,0.0288211,0.166682,-0.000183975
