Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
2,1,0,2,1,0.460179,0.0208651,-4.37401,0.00312758
2,1,0,1,1,1.96272,0.0987662,4.54253,0.00607118
2,1,0,2,1,0.603711,-0.00864868,-0.874986,0.00625516
2,1,0,0,1,0.427221,0.0268171,-5.00836,0.00680708
2,1,0,2,2,0.37221,0.0141363,-1.50565,0.00735901
2,1,0,1,2,1.96638,0.0918378,4.90294,0.00956671
2,1,0,2,2,0.577042,0.0137411,0.463986,0.00956671
2,1,0,0,2,0.355803,0.0252817,-5.00633,0.00975069
2,1,0,2,3,0.384154,0.037887,0.583569,0.00975069
2,1,0,1,3,1.91317,0.110304,5.27255,0.0101186
2,1,0,2,3,0.55986,0.0091817,0.203293,0.0103026
2,1,0,0,3,0.511256,0.0271487,-5.00983,0.0104866
2,1,0,2,4,0.327044,0.0165057,-3.60076,0.0103026
2,1,0,1,4,1.95851,0.135942,5.51503,0.0106706
2,1,0,2,4,0.556771,0.0177257,1.3478,0.0106706
2,1,0,0,4,0.272137,0.0253812,-5.00633,0.0108545
