Mode,Dof,ControlType,StairNum,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,1,0,0,48338766,5.03903,-0.39378,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45454,-0.738804,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45503,-0.738763,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4559,-0.738631,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45685,-0.738559,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45721,-0.738541,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45742,-0.738496,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45686,-0.738554,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4556,-0.738667,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45611,-0.738669,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45676,-0.738657,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45669,-0.738659,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45725,-0.738638,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45767,-0.738597,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45757,-0.738627,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45699,-0.738597,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45741,-0.738519,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45779,-0.738426,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45687,-0.738432,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45689,-0.738453,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45756,-0.738443,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45715,-0.738454,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45703,-0.738486,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4578,-0.738404,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45723,-0.738366,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4566,-0.738405,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45726,-0.738378,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45682,-0.738404,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45626,-0.738568,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45661,-0.738594,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45701,-0.738682,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45654,-0.738796,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45639,-0.738774,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45638,-0.738829,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45584,-0.738847,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45599,-0.738842,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45735,-0.738723,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4571,-0.738668,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4571,-0.73862,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45621,-0.738635,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45496,-0.738737,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45498,-0.738743,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45546,-0.73874,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45603,-0.738739,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45612,-0.738727,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45575,-0.738714,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45554,-0.738682,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45506,-0.738678,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45476,-0.738658,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45541,-0.738749,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45614,-0.738782,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45727,-0.738782,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45748,-0.738788,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45713,-0.738806,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4568,-0.738721,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45655,-0.738702,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4564,-0.738669,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4564,-0.738532,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45699,-0.738528,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45775,-0.738481,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45721,-0.738499,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45713,-0.738582,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45734,-0.738561,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45729,-0.738607,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45668,-0.738638,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45665,-0.738644,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45689,-0.738653,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45636,-0.738685,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45572,-0.738779,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45671,-0.738743,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45709,-0.738671,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45707,-0.738718,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45705,-0.738736,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45639,-0.738769,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45652,-0.738815,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45703,-0.738725,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45681,-0.738654,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45709,-0.738576,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45745,-0.738609,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45788,-0.738699,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45846,-0.738724,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45881,-0.738828,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45872,-0.738803,-7.49258,-1.49756
1,1,1,0,0,48338766,9.458,-0.738786,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45657,-0.738817,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45635,-0.738765,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4561,-0.738707,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45632,-0.738809,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45717,-0.738783,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4583,-0.738678,-7.49258,-1.49756
1,1,1,0,0,48338766,9.459,-0.738658,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45889,-0.73852,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45798,-0.7385,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45701,-0.738577,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4567,-0.738612,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45709,-0.738661,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45719,-0.738635,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45719,-0.738539,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45774,-0.738523,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45778,-0.738531,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45766,-0.738541,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45757,-0.738696,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4576,-0.738731,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45778,-0.738738,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45766,-0.738749,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45871,-0.738735,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45946,-0.738671,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45919,-0.738721,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45949,-0.738638,-7.49258,-1.49756
1,1,1,0,0,48338766,9.46058,-0.738629,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45916,-0.738583,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45922,-0.738549,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4593,-0.738466,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45926,-0.738521,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45942,-0.738495,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45925,-0.738468,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45946,-0.738574,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45958,-0.738596,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45906,-0.738512,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4588,-0.738484,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45856,-0.738472,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45764,-0.738435,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45723,-0.738451,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45759,-0.738444,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4583,-0.738436,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45913,-0.738414,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45927,-0.738341,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45899,-0.738285,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45798,-0.738378,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45714,-0.738437,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45659,-0.738513,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45781,-0.738445,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45925,-0.738268,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45942,-0.738189,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45933,-0.738118,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45882,-0.738184,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45732,-0.738364,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45765,-0.738467,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45811,-0.738475,-7.49258,-1.49756
1,1,1,0,0,48338766,9.4585,-0.738462,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45929,-0.738503,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45984,-0.738505,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45931,-0.738532,-7.49258,-1.49756
1,1,1,0,0,48338766,9.45988,-0.738529,-7.49258,-1.49756
1,1,1,0,0,48338766,9.46073,-0.738421,-7.49258,-1.49756
1,1,1,0,0,48338766,9.46023,-0.738298,-7.49258,-1.49756
1,1,1,0,0,48338766,9.46074,-0.738228,-7.49258,-1.49756
1,1,1,0,0,48338766,9.46133,-0.738235,-7.49258,-1.49756
1,1,1,0,0,48338766,9.46035,-0.738374,-7.49258,-1.49756
1,1,1,0,0,48338766,9.46033,-0.738495,-7.49258,-1.49756
