Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,1,0,0,855274842,5.04758,-0.433512,-10.0508,-0.000183975
1,1,0,0,855274842,8.97901,-0.770972,-10.0508,-0.000183975
1,1,0,0,855274842,8.97916,-0.771035,-10.0508,-0.000183975
1,1,0,0,855274842,8.97942,-0.771059,-10.0508,-0.000183975
1,1,0,0,855274842,8.97894,-0.771024,-10.0508,-0.000183975
1,1,0,0,855274842,8.97889,-0.771012,-10.0508,-0.000183975
1,1,0,0,855274842,8.97862,-0.771088,-10.0508,-0.000183975
1,1,0,0,855274842,8.97842,-0.770941,-10.0508,-0.000183975
1,1,0,0,855274842,8.9783,-0.770829,-10.0508,-0.000183975
1,1,0,0,855274842,8.9786,-0.770912,-10.0508,-0.000183975
1,1,0,0,855274842,8.9784,-0.770866,-10.0508,-0.000183975
1,1,0,0,855274842,8.97824,-0.770756,-10.0508,-0.000183975
1,1,0,0,855274842,8.978,-0.770905,-10.0508,-0.000183975
1,1,0,0,855274842,8.97743,-0.770832,-10.0508,-0.000183975
1,1,0,0,855274842,8.97778,-0.770672,-10.0508,-0.000183975
1,1,0,0,855274842,8.97831,-0.770771,-10.0508,-0.000183975
1,1,0,0,855274842,8.97873,-0.770812,-10.0508,-0.000183975
1,1,0,0,855274842,8.97939,-0.770732,-10.0508,-0.000183975
1,1,0,0,855274842,8.97912,-0.77087,-10.0508,-0.000183975
1,1,0,0,855274842,8.97789,-0.771008,-10.0508,-0.000183975
1,1,0,0,855274842,8.97733,-0.770917,-10.0508,-0.000183975
1,1,0,0,855274842,8.97702,-0.77092,-10.0508,-0.000183975
1,1,0,0,855274842,8.97722,-0.770912,-10.0508,-0.000183975
1,1,0,0,855274842,8.97743,-0.770858,-10.0508,-0.000183975
1,1,0,0,855274842,8.97763,-0.770929,-10.0508,-0.000183975
1,1,0,0,855274842,8.9776,-0.771027,-10.0508,-0.000183975
1,1,0,0,855274842,8.97731,-0.771027,-10.0508,-0.000183975
1,1,0,0,855274842,8.97756,-0.770981,-10.0508,-0.000183975
1,1,0,0,855274842,8.97822,-0.770805,-10.0508,-0.000183975
1,1,0,0,855274842,8.97823,-0.77066,-10.0508,-0.000183975
1,1,0,0,855274842,8.97823,-0.770635,-10.0508,-0.000183975
1,1,0,0,855274842,8.97756,-0.770791,-10.0508,-0.000183975
1,1,0,0,855274842,8.97624,-0.770912,-10.0508,-0.000183975
1,1,0,0,855274842,8.97633,-0.770979,-10.0508,-0.000183975
1,1,0,0,855274842,8.97725,-0.771,-10.0508,-0.000183975
1,1,0,0,855274842,8.97747,-0.770894,-10.0508,-0.000183975
1,1,0,0,855274842,8.9777,-0.770886,-10.0508,-0.000183975
1,1,0,0,855274842,8.97789,-0.770885,-10.0508,-0.000183975
1,1,0,0,855274842,8.97745,-0.770877,-10.0508,-0.000183975
1,1,0,0,855274842,8.97699,-0.77091,-10.0508,-0.000183975
1,1,0,0,855274842,8.97684,-0.770911,-10.0508,-0.000183975
1,1,0,0,855274842,8.97702,-0.770905,-10.0508,-0.000183975
1,1,0,0,855274842,8.97676,-0.770976,-10.0508,-0.000183975
1,1,0,0,855274842,8.97678,-0.771039,-10.0508,-0.000183975
1,1,0,0,855274842,8.97742,-0.771081,-10.0508,-0.000183975
1,1,0,0,855274842,8.97806,-0.77108,-10.0508,-0.000183975
1,1,0,0,855274842,8.97809,-0.771046,-10.0508,-0.000183975
1,1,0,0,855274842,8.97815,-0.771037,-10.0508,-0.000183975
1,1,0,0,855274842,8.97791,-0.770979,-10.0508,-0.000183975
1,1,0,0,855274842,8.97679,-0.771153,-10.0508,-0.000183975
1,1,0,0,855274842,8.97622,-0.771226,-10.0508,-0.000183975
1,1,0,0,855274842,8.97678,-0.771206,-10.0508,-0.000183975
1,1,0,0,855274842,8.97765,-0.771145,-10.0508,-0.000183975
1,1,0,0,855274842,8.97814,-0.771078,-10.0508,-0.000183975
1,1,0,0,855274842,8.97854,-0.770986,-10.0508,-0.000183975
1,1,0,0,855274842,8.97873,-0.770969,-10.0508,-0.000183975
1,1,0,0,855274842,8.97854,-0.770966,-10.0508,-0.000183975
1,1,0,0,855274842,8.97873,-0.770893,-10.0508,-0.000183975
