Mode,Dof,ControlType,Trial,whichStim,NormF,ShearF,NormP,ShearP
1,0,0,0,1050794131,4.49075,-0.383273,-9.54353,0.000183975
1,0,0,0,1050794131,8.98215,-0.766818,-9.54353,0.000183975
1,0,0,0,1050794131,8.98244,-0.766793,-9.54353,0.000183975
1,0,0,0,1050794131,8.98226,-0.76678,-9.54353,0.000183975
1,0,0,0,1050794131,8.98244,-0.766742,-9.54353,0.000183975
1,0,0,0,1050794131,8.98234,-0.766663,-9.54353,0.000183975
1,0,0,0,1050794131,8.98149,-0.766671,-9.54353,0.000183975
1,0,0,0,1050794131,8.98155,-0.766668,-9.54353,0.000183975
1,0,0,0,1050794131,8.98147,-0.766676,-9.54353,0.000183975
1,0,0,0,1050794131,8.982,-0.766723,-9.54353,0.000183975
1,0,0,0,1050794131,8.98151,-0.766753,-9.54353,0.000183975
1,0,0,0,1050794131,8.9813,-0.766781,-9.54353,0.000183975
1,0,0,0,1050794131,8.98156,-0.766881,-9.54353,0.000183975
1,0,0,0,1050794131,8.98171,-0.766858,-9.54353,0.000183975
1,0,0,0,1050794131,8.98266,-0.766737,-9.54353,0.000183975
1,0,0,0,1050794131,8.98334,-0.766752,-9.54353,0.000183975
1,0,0,0,1050794131,8.98324,-0.766736,-9.54353,0.000183975
1,0,0,0,1050794131,8.98302,-0.766689,-9.54353,0.000183975
1,0,0,0,1050794131,8.98166,-0.766773,-9.54353,0.000183975
1,0,0,0,1050794131,8.98024,-0.766884,-9.54353,0.000183975
1,0,0,0,1050794131,8.98064,-0.766807,-9.54353,0.000183975
1,0,0,0,1050794131,8.98146,-0.766709,-9.54353,0.000183975
1,0,0,0,1050794131,8.98163,-0.766677,-9.54353,0.000183975
1,0,0,0,1050794131,8.98159,-0.766708,-9.54353,0.000183975
1,0,0,0,1050794131,8.98178,-0.766742,-9.54353,0.000183975
1,0,0,0,1050794131,8.98061,-0.766778,-9.54353,0.000183975
1,0,0,0,1050794131,8.98065,-0.766828,-9.54353,0.000183975
1,0,0,0,1050794131,8.98067,-0.766921,-9.54353,0.000183975
1,0,0,0,1050794131,8.98027,-0.766919,-9.54353,0.000183975
1,0,0,0,1050794131,8.9805,-0.766885,-9.54353,0.000183975
