Mode,Dof,ControlType,PointOfInterest,Cycle,Fn,Ft,deltaN,deltaN
1,1,0,5,0,5.00569,-0.395645,-13.5814,0.000735901
1,1,0,5,0,9.38889,-0.742259,-13.5814,0.000735901
1,1,0,5,0,9.38805,-0.742224,-13.5814,0.000735901
1,1,0,5,0,9.38724,-0.742343,-13.5814,0.000735901
1,1,0,5,0,9.38631,-0.742435,-13.5814,0.000735901
1,1,0,5,0,9.3861,-0.742478,-13.5814,0.000735901
1,1,0,5,0,9.3858,-0.742552,-13.5814,0.000735901
1,1,0,5,0,9.38518,-0.742498,-13.5814,0.000735901
1,1,0,5,0,9.38606,-0.742377,-13.5814,0.000735901
1,1,0,5,0,9.38734,-0.742236,-13.5814,0.000735901
1,1,0,5,0,9.38858,-0.742106,-13.5814,0.000735901
1,1,0,5,0,9.38892,-0.742094,-13.5814,0.000735901
1,1,0,5,0,9.38853,-0.74215,-13.5814,0.000735901
1,1,0,5,0,9.38747,-0.742269,-13.5814,0.000735901
1,1,0,5,0,9.38704,-0.742345,-13.5814,0.000735901
1,1,0,5,0,9.38762,-0.742362,-13.5814,0.000735901
1,1,0,5,0,9.38741,-0.742371,-13.5814,0.000735901
1,1,0,5,0,9.38754,-0.742277,-13.5814,0.000735901
1,1,0,5,0,9.38764,-0.742231,-13.5814,0.000735901
1,1,0,5,0,9.38794,-0.742185,-13.5814,0.000735901
1,1,0,5,0,9.3878,-0.742169,-13.5814,0.000735901
1,1,0,5,0,9.38785,-0.742151,-13.5814,0.000735901
1,1,0,5,0,9.38844,-0.74217,-13.5814,0.000735901
1,1,0,5,0,9.38794,-0.742172,-13.5814,0.000735901
1,1,0,5,0,9.38671,-0.742158,-13.5814,0.000735901
1,1,0,5,0,9.38645,-0.742183,-13.5814,0.000735901
1,1,0,5,0,9.38655,-0.742185,-13.5814,0.000735901
1,1,0,5,0,9.38654,-0.74229,-13.5814,0.000735901
1,1,0,5,0,9.38687,-0.742459,-13.5814,0.000735901
1,1,0,5,0,9.38729,-0.742544,-13.5814,0.000735901
1,1,0,5,0,9.38793,-0.742514,-13.5814,0.000735901
1,1,0,5,0,9.38766,-0.742465,-13.5814,0.000735901
1,1,0,5,0,9.38744,-0.74241,-13.5814,0.000735901
1,1,0,5,0,9.38722,-0.742364,-13.5814,0.000735901
1,1,0,5,0,9.38785,-0.742436,-13.5814,0.000735901
1,1,0,5,0,9.38785,-0.742473,-13.5814,0.000735901
1,1,0,5,0,9.38801,-0.742532,-13.5814,0.000735901
1,1,0,5,0,9.38814,-0.742537,-13.5814,0.000735901
1,1,0,5,0,9.3882,-0.742524,-13.5814,0.000735901
1,1,0,5,0,9.38734,-0.742501,-13.5814,0.000735901
1,1,0,5,0,9.38769,-0.742496,-13.5814,0.000735901
1,1,0,5,0,9.38944,-0.742355,-13.5814,0.000735901
1,1,0,5,0,9.39062,-0.742275,-13.5814,0.000735901
1,1,0,5,0,9.39076,-0.742327,-13.5814,0.000735901
1,1,0,5,0,9.3909,-0.742276,-13.5814,0.000735901
1,1,0,5,0,9.38994,-0.742365,-13.5814,0.000735901
1,1,0,5,0,9.38855,-0.742455,-13.5814,0.000735901
1,1,0,5,0,9.38828,-0.742494,-13.5814,0.000735901
1,1,0,5,0,9.38809,-0.742472,-13.5814,0.000735901
1,1,0,5,0,9.38791,-0.742537,-13.5814,0.000735901
1,1,0,5,0,9.38724,-0.742523,-13.5814,0.000735901
1,1,0,5,0,9.38689,-0.742425,-13.5814,0.000735901
1,1,0,5,0,9.38698,-0.742458,-13.5814,0.000735901
1,1,0,5,0,9.38762,-0.742366,-13.5814,0.000735901
1,1,0,5,0,9.38863,-0.742261,-13.5814,0.000735901
1,1,0,5,0,9.38871,-0.742344,-13.5814,0.000735901
1,1,0,5,0,9.38838,-0.742456,-13.5814,0.000735901
1,1,0,5,0,9.38717,-0.742501,-13.5814,0.000735901
1,1,0,5,0,9.38588,-0.742612,-13.5814,0.000735901
1,1,0,5,0,9.38642,-0.742589,-13.5814,0.000735901
1,1,0,5,0,9.38707,-0.742462,-13.5814,0.000735901
1,1,0,5,0,9.38709,-0.742357,-13.5814,0.000735901
1,1,0,5,0,9.38719,-0.742296,-13.5814,0.000735901
1,1,0,5,0,9.38734,-0.742261,-13.5814,0.000735901
1,1,0,5,0,9.38733,-0.742263,-13.5814,0.000735901
1,1,0,5,0,9.38742,-0.742356,-13.5814,0.000735901
1,1,0,5,0,9.38751,-0.742455,-13.5814,0.000735901
1,1,0,5,0,9.38778,-0.742401,-13.5814,0.000735901
1,1,0,5,0,9.38728,-0.742555,-13.5814,0.000735901
1,1,0,5,0,9.38632,-0.742581,-13.5814,0.000735901
1,1,0,5,0,9.38622,-0.742498,-13.5814,0.000735901
1,1,0,5,0,9.38716,-0.742502,-13.5814,0.000735901
1,1,0,5,0,9.38743,-0.742483,-13.5814,0.000735901
1,1,0,5,0,9.38794,-0.742298,-13.5814,0.000735901
1,1,0,5,0,9.38916,-0.742291,-13.5814,0.000735901
1,1,0,5,0,9.38889,-0.742366,-13.5814,0.000735901
1,1,0,5,0,9.38813,-0.742276,-13.5814,0.000735901
1,1,0,5,0,9.38844,-0.742244,-13.5814,0.000735901
1,1,0,5,0,9.38879,-0.742301,-13.5814,0.000735901
1,1,0,5,0,9.38848,-0.742269,-13.5814,0.000735901
1,1,0,5,0,9.38863,-0.742276,-13.5814,0.000735901
1,1,0,5,0,9.38877,-0.742467,-13.5814,0.000735901
1,1,0,5,0,9.38787,-0.742638,-13.5814,0.000735901
1,1,0,5,0,9.38836,-0.742623,-13.5814,0.000735901
1,1,0,5,0,9.38962,-0.742584,-13.5814,0.000735901
1,1,0,5,0,9.39031,-0.742417,-13.5814,0.000735901
1,1,0,5,0,9.39069,-0.742221,-13.5814,0.000735901
1,1,0,5,0,9.3903,-0.742271,-13.5814,0.000735901
1,1,0,5,0,9.38928,-0.74239,-13.5814,0.000735901
1,1,0,5,0,9.38841,-0.742529,-13.5814,0.000735901
1,1,0,5,0,9.38803,-0.742711,-13.5814,0.000735901
1,1,0,5,0,9.38802,-0.742691,-13.5814,0.000735901
