Mode,Dof,ControlType,StairNum,Trial,Dir,lastSlope,CrossNum,Stimulus1,Stimulus2,Standard,Comparison,Correct,Answer,Greater,NormF1,ShearF1,NormP1,ShearP1,NormF2,ShearF2,NormP2,ShearP2
2,1,0,0,1,2,2,0,0,0.5,1,2,2,2,1,0.741363,0.00700948,-0.0101334,-4.78336e-05,0.858507,0.0469487,0.486015,3.67951e-06
2,1,0,0,2,1,1,0,0,0,2,1,0,2,0,1.00293,0.0307835,0.170913,0,1.00709,0.0658686,0.170913,-4.41541e-05
2,1,0,0,3,1,1,0,-0.5,0,2,1,2,1,1,0.901684,0.00578795,-0.315385,0,0.65008,-0.0381799,-0.000842607,1.10385e-05
2,1,0,0,4,1,1,0,-1,0,2,1,2,2,0,0.772787,-0.00299442,-0.813907,0,0.64824,-0.0141774,-0.00110385,-1.83975e-05
2,1,0,0,5,0,0,1,-0.5,0,2,1,2,2,0,0.885969,0.0109404,-0.319381,5.51926e-05,0.714015,-0.0110012,-0.00135406,0
2,1,0,0,6,0,0,1,0,0,1,2,0,2,1,0.66049,-0.030967,0.00202373,-7.35901e-06,0.639462,0.017745,0.00215619,0
2,1,0,0,7,1,1,2,0,-0.5,1,2,1,1,0,0.736113,0.00596506,0.0022077,1.10385e-05,0.994126,0.0213294,-0.323267,0
2,1,0,0,8,0,0,3,0,0,1,2,0,1,0,0.762506,0.0200876,0.00172937,4.41541e-05,0.820517,-0.0156181,0.0022077,0
2,1,0,0,9,1,1,4,0,-0.5,1,2,1,1,0,0.788349,-0.00116608,0.00349553,0,1.03685,0.0172829,-0.324646,0
2,1,0,0,10,0,0,5,0,0,2,1,0,2,0,0.866464,-0.0122441,-0.00404746,4.78336e-05,0.902396,0.0143025,-0.00322693,0
2,1,0,0,11,1,1,6,-0.5,0,2,1,2,2,0,1.06629,0.0495014,-0.32731,0,0.847221,-0.0110035,-0.00423143,2.2077e-05
2,1,0,0,12,0,0,7,0,0,2,1,0,2,0,0.816895,-0.0254519,-0.000551926,-7.35901e-06,0.762476,-0.0163066,0.00165578,-7.35901e-06
2,1,0,0,13,1,1,8,0,-0.5,1,2,1,1,0,0.715316,-0.0360827,0.00348449,4.04746e-05,0.918064,0.0142053,-0.326416,0
2,1,0,0,14,0,0,9,0,0,1,2,0,2,1,0.673595,-0.0441911,0.00292153,3.67951e-06,0.683172,-0.0509376,0.00321221,1.4718e-05
